City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,20,1.0,RU,1690918214
84,brookings,44.3114,-96.7984,28.43,66,75,5.14,US,1690918214
85,rongelap,11.1635,166.8941,28.21,77,94,6.49,MH,1690918214
86,qa'en,33.7265,59.1844,25.46,23,0,6.67,IR,1690918214
87,san rafael,-34.6177,-68.3301,23.13,25,0,5.0,AR,1690918122
88,klyuchi,52.2667,79.1667,21.33,51,8,2.77,RU,1690918215
89,waddan,29.1614,16.139,32.52,23,0,5.44,LY,1690918215
90,georgetown,5.4112,100.3354,28.97,81,20,3.09,MY,1690918164
91,mount isa,-20.7333,139.5,16.87,48,3,3.6,AU,1690918216
92,callao,-12.0667,-77.15,22.16,64,75,4.12,PE,1690917984
93,geraldton,-28.7667,114.6,12.23,82,100,6.17,AU,1690918216
94,fourmies,50.0153,4.0478,16.31,95,99,3.55,FR,1690918216
95,enewetak,11.3474,162.3373,28.11,79,95,6.35,MH,1690918216
96,luderitz,-26.6481,15.1594,18.07,37,0,2.57,NA,1690918217
97,ola,59.5833,151.2833,12.76,77,26,3.31,RU,1690918217
98,puerto armuelles,8.2833,-82.8667,27.83,70,100,1.34,PA,1690918058
99,nieuw nickerie,5.95,-56.9833,27.79,77,10,4.27,SR,1690918217
100,qarchi gak,37.04,66.7889,32.88,16,0,5.47,AF,1690918217
101,saint george,37.1041,-113.5841,28.47,54,20,0.45,US,1690917943
102,dolores,-36.3132,-57.6792,22.86,72,0,1.22,AR,1690918218
103,lagunas,-5.2269,-75.6753,35.54,30,23,1.06,PE,1690918218
104,saint john,45.2727,-66.0677,21.57,56,75,3.6,CA,1690918067
105,kone,-21.0595,164.8658,15.03,82,0,2.33,NC,1690918218
106,yellowknife,62.456,-114.3525,22.29,46,75,6.71,CA,1690918131
107,talnakh,69.4865,88.3972,18.45,79,3,1.98,RU,1690918218
108,margaret river,-33.95,115.0667,16.31,83,33,9.46,AU,1690918218
109,podgornoye,51.735,39.1496,20.12,94,0,2.0,RU,1690918219
110,beaufort west,-32.3567,22.583,9.79,41,10,2.0,ZA,1690917923
111,ilulissat,69.2167,-51.1,10.01,81,75,2.06,GL,1690918219
112,sudislavl',57.8817,41.7083,16.55,84,4,0.95,RU,1690918219
113,mount pearl,47.5166,-52.7813,20.41,77,75,4.63,CA,1690918122
114,zaragoza,41.6561,-0.8773,30.25,34,0,3.13,ES,1690918182
115,esquina,-30.0144,-59.5272,32.7,30,0,3.41,AR,1690918219
116,paracuru,-3.41,-39.0306,27.28,64,5,7.65,BR,1690918050
117,arraial do cabo,-22.9661,-42.0278,22.98,73,0,5.66,BR,1690917939
118,songjianghe,42.1859,127.479,19.67,87,100,1.95,CN,1690918220
119,zarghun shahr,32.8473,68.4457,24.89,27,0,3.32,AF,1690918220
120,fada,9.5667,8.3,21.06,99,100,2.55,NG,1690918221
121,stornoway,58.2093,-6.3865,15.61,80,20,7.2,GB,1690918221
122,igrim,63.1906,64.4162,15.99,77,69,2.42,RU,1690918221
123,bilhaur,26.85,80.0833,31.36,58,74,2.28,IN,1690918221
124,brooks,50.5834,-111.8851,27.79,43,0,1.03,CA,1690918222
125,howard springs,-12.497,131.047,20.95,89,100,2.4,AU,1690918222
126,buala,-8.145,159.5921,25.76,87,100,4.33,SB,1690918222
127,yinchuan,38.4681,106.2731,26.64,52,27,3.31,CN,1690918222
128,ushuaia,-54.8,-68.3,3.81,75,0,8.23,AR,1690918136
129,kupang,-10.1667,123.5833,22.81,80,95,4.08,ID,1690918223
130,tostado,-29.232,-61.7692,34.43,31,0,4.02,AR,1690918223
131,midvagur,62.0511,-7.1939,11.46,82,40,4.63,FO,1690918223
132,arar,30.9753,41.0381,38.01,8,0,5.14,SA,1690918223
133,kindu,-2.95,25.95,25.35,36,93,0.43,CD,1690918224
134,nova sintra,14.8667,-24.7167,22.93,81,14,3.96,CV,1690918224
135,weno,7.4515,151.8468,26.97,89,100,0.0,FM,1690918224
136,sabang,5.8933,95.3214,27.97,75,100,10.24,ID,1690918224
137,brisas de zicatela,15.8369,-97.0419,32.29,55,0,4.12,MX,1690918224
138,lyubymivka,46.8106,33.5686,23.69,56,12,3.48,UA,1690918225
139,dudinka,69.4058,86.1778,18.68,76,0,4.81,RU,1690918225
140,quellon,-43.1167,-73.6167,10.14,76,40,5.66,CL,1690918225
141,walvis bay,-22.9575,14.5053,20.53,18,0,5.66,NA,1690918225
142,boyolangu,-8.1181,111.8935,21.53,95,83,0.3,ID,1690918225
143,east london,-33.0153,27.9116,14.27,68,12,2.37,ZA,1690918226
144,ryotsu-minato,38.0833,138.4333,25.4,84,99,2.58,JP,1690918226
145,paita,-5.0892,-81.1144,23.75,73,88,8.56,PE,1690918226
146,cockburn town,21.4612,-71.1419,28.87,78,100,6.49,TC,1690918226
147,new plymouth,-39.0667,174.0833,9.34,77,64,10.81,NZ,1690918226
148,fauske,67.2588,15.3918,18.02,74,100,2.8,NO,1690918226
149,vorgashor,67.5833,63.95,14.51,84,100,1.18,RU,1690918227
150,al wajh,26.2455,36.4525,30.97,79,0,2.57,SA,1690918227
151,cadale,2.7603,46.3222,25.11,84,100,7.88,SO,1690918227
152,cestos city,5.46,-9.5828,25.06,88,100,4.73,LR,1690918227
153,rufino,-34.2683,-62.7126,29.51,35,0,3.38,AR,1690918227
154,gavrilov-yam,57.3018,39.8533,16.91,75,43,1.63,RU,1690918227
155,boquim,-11.1469,-37.6206,22.19,92,15,3.31,BR,1690918228
156,takoradi,4.8845,-1.7554,24.55,89,93,4.93,GH,1690918228
157,vila velha,-20.3297,-40.2925,22.97,82,20,3.6,BR,1690918228
158,kapa'a,22.0752,-159.319,28.18,74,0,7.72,US,1690918228
159,iskateley,67.6803,53.1512,19.67,73,97,3.29,RU,1690918228
160,curuzu cuatia,-29.7917,-58.0546,28.98,46,0,4.3,AR,1690918228
161,manacapuru,-3.2997,-60.6206,32.36,45,98,0.83,BR,1690918229
162,mount gambier,-37.8333,140.7667,7.29,87,0,2.59,AU,1690918140
163,nemuro,43.3236,145.575,15.96,99,93,4.87,JP,1690918229
164,fortuna,40.5982,-124.1573,19.4,80,20,4.63,US,1690918229
165,bor,56.3567,44.0669,16.96,64,88,0.93,RU,1690917770
166,kegen,43.0197,79.2203,13.3,52,4,3.04,KZ,1690918230
167,alderetes,-26.8167,-65.1333,29.95,39,0,2.06,AR,1690918231
168,antsiranana,-12.2787,49.2917,22.53,73,0,6.9,MG,1690918232
169,shemonaikha,50.6328,81.9056,20.19,50,1,1.72,KZ,1690918232
170,hawaiian paradise park,19.5933,-154.9731,26.73,81,40,2.57,US,1690918232
